customer_id,city,acquisition_channel,order_count,net_gmv,first_order_date,retained_90d_raw
C100000,North Judithbury,Social Media,1,545.56,2023-11-12,0
C100001,East Jessetown,Paid Search,13,5126.65,2024-01-06,0
C100002,Lake Roberto,Referral,17,11675.85,2023-07-12,1
C100003,Ericmouth,Social Media,12,5330.65,2023-11-26,1
C100004,East Jill,Social Media,31,12275.8,2023-12-27,1
C100005,East Jessetown,Paid Search,1,922.12,2023-07-13,0
C100006,Robinsonshire,Social Media,1,359.19,2024-01-02,0
C100007,Lake Roberto,App Store,1,1783.12,2025-02-24,0
C100008,East Jill,Referral,1,384.43,2023-11-26,0
C100009,Lisatown,Paid Search,5,2653.41,2025-06-21,1
C100010,New Roberttown,Social Media,1,195.98,2023-12-12,0
C100011,New Roberttown,Organic,1,1187.91,2024-04-09,0
C100012,Robinsonshire,Paid Search,1,432.85,2024-10-09,0
C100013,Lake Debra,Organic,1,325.5,2024-07-25,0
C100014,Lisatown,Organic,0,0.0,,0
C100015,East Jessetown,Paid Search,13,5870.67,2023-12-15,1
C100016,Ericmouth,Social Media,1,240.75,2023-12-31,0
C100017,North Judithbury,Paid Search,11,10118.75,2025-01-22,1
C100018,Ericmouth,Paid Search,1,878.22,2024-11-15,0
C100019,North Judithbury,App Store,4,2373.93,2023-07-18,1
C100020,Lake Roberto,Organic,31,22678.44,2024-01-11,1
C100021,East Jessetown,Paid Search,13,6862.24,2023-10-13,1
C100022,East Jessetown,App Store,11,12140.09,2024-12-28,1
C100023,North Judithbury,App Store,1,198.16,2025-05-18,0
C100024,Lake Roberto,App Store,14,15580.46,2023-08-09,1
C100025,East Jill,Referral,48,41293.1,2024-02-15,1
C100026,Lisatown,Referral,14,6654.35,2025-05-25,1
C100027,Lake Roberto,Social Media,1,323.57,2024-08-05,0
C100028,Ericmouth,Social Media,1,111.1,2024-06-07,0
C100029,Lake Roberto,App Store,43,21840.77,2024-05-26,1
C100030,East Jessetown,Organic,1,460.3,2023-11-20,0
C100031,Lake Roberto,Organic,1,85.2,2023-11-12,0
C100032,Ericmouth,Social Media,1,728.63,2024-04-09,0
C100033,East Jessetown,Referral,1,685.82,2024-12-02,0
C100034,East Jill,App Store,16,4070.41,2024-12-17,1
C100035,Ericmouth,Social Media,1,77.84,2025-04-27,0
C100036,East Jill,Organic,1,1414.69,2024-08-28,0
C100037,Robinsonshire,Social Media,1,1496.48,2024-08-25,0
C100038,New Roberttown,Paid Search,1,485.23,2024-02-15,0
C100039,East Jill,Organic,28,19304.93,2024-01-11,1
C100040,Lake Roberto,Organic,1,1323.53,2024-11-15,0
C100041,East Jill,Referral,22,14442.22,2025-03-19,1
C100042,Lisatown,Social Media,1,149.73,2025-02-17,0
C100043,Lisatown,Paid Search,1,359.47,2024-02-02,0
C100044,North Judithbury,Social Media,1,188.51,2024-07-02,0
C100045,East Jill,Paid Search,1,295.27,2025-02-23,0
C100046,Lake Roberto,Social Media,1,1716.33,2023-12-30,0
C100047,Robinsonshire,Organic,1,442.04,2025-03-23,0
C100048,East Jill,Organic,1,540.21,2024-01-11,0
C100049,North Noahstad,Social Media,1,305.72,2025-03-16,0
